arm,label,scheme,bin,n,mean_predicted,observed_rate,gap
R4_demo_acq,deterioration_icu_24h,equal_width,2,728,0.16059416391697381,0.17032967032967034,0.00973550641269652
R4_demo_acq,deterioration_icu_24h,equal_width,3,289,0.23174398502678595,0.23875432525951557,0.007010340232729617
R4_demo_acq,deterioration_icu_24h,equal_width,4,227,0.30066729079549254,0.28193832599118945,-0.018728964804303083
R4_demo_acq,deterioration_icu_24h,equal_width,5,216,0.3646784895690622,0.41203703703703703,0.047358547467974854
R4_demo_acq,deterioration_icu_24h,equal_width,6,148,0.4282054323272576,0.42567567567567566,-0.002529756651581949
R4_demo_acq,deterioration_icu_24h,equal_width,7,77,0.49832674973639957,0.44155844155844154,-0.05676830817795803
R4_demo_acq,deterioration_icu_24h,equal_width,8,57,0.5640457915000405,0.47368421052631576,-0.09036158097372476
R4_demo_acq,deterioration_icu_24h,equal_width,9,55,0.6306368518690886,0.6181818181818182,-0.012455033687270411
R4_demo_acq,deterioration_icu_24h,equal_width,10,43,0.7018963475111358,0.7209302325581395,0.01903388504700365
R4_demo_acq,deterioration_icu_24h,equal_width,11,24,0.7588517484993046,0.75,-0.00885174849930459
R4_demo_acq,deterioration_icu_24h,equal_mass,0,427,0.006359241595536037,0.00702576112412178,0.0006665195285857429
R4_demo_acq,deterioration_icu_24h,equal_mass,1,427,0.012332761533015144,0.00702576112412178,-0.005307000408893364
