table,row_key,column,text,value,format,source_file,source_key,source_column,aggregate,unit
T3,R3_acqctx_pre|deterioration_mortality_365d,ratio,0.6149,0.6149324821071007,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;quantity=recovery_ratio,ci_lo,,record
T3,R3_acqctx_pre|deterioration_mortality_365d,ratio,0.7476,0.7476139961098882,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;quantity=recovery_ratio,ci_hi,,record
T3,R3_acqctx_pre|deterioration_mortality_365d,numerator,0.7241,0.7241058215184337,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;quantity=recovery_ratio,numerator_auroc,,record
T3,R3_acqctx_pre|deterioration_mortality_365d,denominator,0.8294,0.8294210012612419,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;quantity=recovery_ratio,denominator_auroc,,record
T3,R3_acqctx_pre|deterioration_mortality_365d,meets,no,,verdict,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;quantity=recovery_ratio,meets_target,,not_applicable
T3,R3_acqctx_pre|deterioration_mortality_365d,primary,pre-declared primary,,verdict,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;quantity=recovery_ratio,is_primary,,not_applicable
T3,R4_demo_acq|deterioration_icu_24h,ratio,0.9749,0.9749106192116914,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_icu_24h;quantity=recovery_ratio,estimate,,record
T3,R4_demo_acq|deterioration_icu_24h,ratio,0.9155,0.9154754446133734,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_icu_24h;quantity=recovery_ratio,ci_lo,,record
T3,R4_demo_acq|deterioration_icu_24h,ratio,1.0376,1.037608594951538,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_icu_24h;quantity=recovery_ratio,ci_hi,,record
T3,R4_demo_acq|deterioration_icu_24h,numerator,0.8094,0.8093587360594795,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_icu_24h;quantity=recovery_ratio,numerator_auroc,,record
T3,R4_demo_acq|deterioration_icu_24h,denominator,0.8173,0.8173201009028147,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_icu_24h;quantity=recovery_ratio,denominator_auroc,,record
T3,R4_demo_acq|deterioration_icu_24h,meets,yes,,verdict,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_icu_24h;quantity=recovery_ratio,meets_target,,not_applicable
T3,R4_demo_acq|deterioration_icu_24h,primary,exploratory,,verdict,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_icu_24h;quantity=recovery_ratio,is_primary,,not_applicable
T3,R4_demo_acq|deterioration_mortality_28d,ratio,0.8931,0.8930882780529596,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_28d;quantity=recovery_ratio,estimate,,record
T3,R4_demo_acq|deterioration_mortality_28d,ratio,0.8095,0.8095217460019601,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_28d;quantity=recovery_ratio,ci_lo,,record
T3,R4_demo_acq|deterioration_mortality_28d,ratio,0.9769,0.9768514704429524,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_28d;quantity=recovery_ratio,ci_hi,,record
T3,R4_demo_acq|deterioration_mortality_28d,numerator,0.8102,0.8101851491147687,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_28d;quantity=recovery_ratio,numerator_auroc,,record
T3,R4_demo_acq|deterioration_mortality_28d,denominator,0.8473,0.847317456445638,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_28d;quantity=recovery_ratio,denominator_auroc,,record
T3,R4_demo_acq|deterioration_mortality_28d,meets,yes,,verdict,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_28d;quantity=recovery_ratio,meets_target,,not_applicable
T3,R4_demo_acq|deterioration_mortality_28d,primary,exploratory,,verdict,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_28d;quantity=recovery_ratio,is_primary,,not_applicable
T3,R4_demo_acq|deterioration_mortality_365d,ratio,0.9206,0.920644235000998,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_365d;quantity=recovery_ratio,estimate,,record
T3,R4_demo_acq|deterioration_mortality_365d,ratio,0.8568,0.8567543809917325,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_365d;quantity=recovery_ratio,ci_lo,,record
T3,R4_demo_acq|deterioration_mortality_365d,ratio,0.9849,0.9848751877758072,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_365d;quantity=recovery_ratio,ci_hi,,record
T3,R4_demo_acq|deterioration_mortality_365d,numerator,0.8033,0.8032795456994188,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_365d;quantity=recovery_ratio,numerator_auroc,,record
T3,R4_demo_acq|deterioration_mortality_365d,denominator,0.8294,0.8294210012612419,.4f,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_365d;quantity=recovery_ratio,denominator_auroc,,record
T3,R4_demo_acq|deterioration_mortality_365d,meets,yes,,verdict,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_365d;quantity=recovery_ratio,meets_target,,not_applicable
